property_id,pin,address,city,state,zip,property_class,assessment_value,assessment_year,latitude,longitude,tax_code
P001,01-23-456-789,123 Main St,Springfield,IL,62701,Residential,250000,2025,39.781721,-89.650148,801
P002,01-23-456-790,456 Oak Ave,Springfield,IL,62702,Residential,320000,2025,39.783521,-89.652345,801
P003,01-23-456-791,789 Elm St,Springfield,IL,62703,Commercial,1250000,2025,39.785678,-89.654567,802
P004,01-23-456-792,321 Pine Rd,Springfield,IL,62704,Residential,175000,2025,39.787234,-89.656789,802
P005,01-23-456-793,654 Maple Dr,Springfield,IL,62704,Residential,295000,2025,39.789012,-89.658901,803
P006,01-23-456-794,987 Cedar Ln,Springfield,IL,62705,Commercial,880000,2025,39.791234,-89.661023,803
P007,01-23-456-795,159 Willow Way,Springfield,IL,62701,Residential,210000,2025,39.793456,-89.663145,801
P008,01-23-456-796,753 Birch Blvd,Springfield,IL,62702,Residential,345000,2025,39.795678,-89.665267,802
P009,01-23-456-797,951 Spruce Ct,Springfield,IL,62703,Commercial,1450000,2025,39.797890,-89.667389,803
P010,01-23-456-798,357 Aspen Ave,Springfield,IL,62704,Residential,265000,2025,39.800012,-89.669501,801
